age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19774,TRUE,FALSE,FALSE
46,female,2,Facebook,Travel,United Kingdom,Urban,Student,10564,TRUE,TRUE,TRUE
32,male,8,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,13258,FALSE,FALSE,FALSE
25,male,1,Instagram,Lifestlye,Australia,Urban,Software Engineer,14566,FALSE,TRUE,TRUE
38,male,3,Facebook,Travel,United States,Urban,Marketer Manager,19179,TRUE,TRUE,TRUE
56,male,8,YouTube,Sports,United States,Urban,Student,16881,TRUE,TRUE,TRUE
36,male,4,Instagram,Sports,Australia,Urban,Marketer Manager,13636,TRUE,FALSE,TRUE
28,female,7,YouTube,Lifestlye,United Kingdom,Urban,Student,16297,TRUE,TRUE,FALSE
57,female,6,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,11928,FALSE,TRUE,FALSE
20,male,6,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,18540,TRUE,TRUE,FALSE
39,male,8,Instagram,Travel,United States,Sub_Urban,Student,14732,TRUE,TRUE,FALSE
19,female,7,Instagram,Sports,United Kingdom,Rural,Marketer Manager,11017,FALSE,TRUE,TRUE
41,female,9,Facebook,Sports,United States,Sub_Urban,Student,12226,FALSE,FALSE,FALSE
61,female,4,Facebook,Sports,United States,Urban,Marketer Manager,17206,FALSE,FALSE,FALSE
47,male,2,Instagram,Sports,United Kingdom,Rural,Software Engineer,17170,FALSE,FALSE,TRUE
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,12419,TRUE,TRUE,TRUE
38,female,1,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16240,TRUE,TRUE,TRUE
39,male,2,Instagram,Lifestlye,Australia,Urban,Software Engineer,17718,TRUE,FALSE,FALSE
61,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,16878,TRUE,FALSE,FALSE
42,male,5,YouTube,Travel,Australia,Urban,Software Engineer,11125,TRUE,FALSE,TRUE
59,male,1,Facebook,Sports,United States,Urban,Marketer Manager,14161,FALSE,FALSE,TRUE
45,male,8,Facebook,Lifestlye,United States,Rural,Software Engineer,14042,TRUE,FALSE,TRUE
33,female,8,Instagram,Lifestlye,United States,Urban,Software Engineer,14433,FALSE,TRUE,TRUE
32,female,4,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,18638,TRUE,TRUE,TRUE
61,male,3,Instagram,Travel,United States,Rural,Marketer Manager,13483,FALSE,TRUE,FALSE
20,male,6,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,12944,TRUE,FALSE,FALSE
54,male,9,YouTube,Lifestlye,United States,Urban,Marketer Manager,17210,TRUE,TRUE,FALSE
26,female,4,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,11986,TRUE,FALSE,FALSE
